id,name,vital-dog-breed-group,vital-height,vital-weight,vital-life-span,trait-adapts-well-to-apartment-living,trait-good-for-novice-owners,trait-sensitivity-level,trait-tolerates-being-alone,trait-tolerates-cold-climates,trait-tolerates-hot-climates,trait-affectionate-with-family,trait-compatible-with-kids,trait-dog-friendly,trait-friendly-toward-strangers,trait-amount-of-shedding,trait-drooling-potential,trait-easy-to-groom,trait-general-health,trait-potential-for-weight-gain,trait-size,trait-easy-to-train,trait-intelligence-level,trait-potential-for-mouthiness,trait-predatory-tendencies,trait-tendency-to-bark-or-howl,trait-wanderlust-level,trait-energy-level,trait-intensity-level-vigor,trait-need-for-exercise,trait-potential-for-playfulness
labradane,Labradane,mixed-breeds,24 to 30 inches,100 to 180 pounds,8 to 12 years,1,2,3,2,4,4,5,5,4,3,2,3,4,4,4,5,3,4,2,3,1,3,4,2,4,5
labradoodle,Labradoodle,hybrids,21 to 24 inches at the shoulder,50 to 65 pounds,12 to 14 years,3,4,3,4,5,4,5,4,5,5,3,1,4,4,3,4,4,4,1,2,2,3,5,4,5,5
labrador-retriever,Labrador Retriever,sporting-dogs,21 to 24 inches at the shoulder,55 to 80 pounds,10 to 12 years,1,3,5,2,3,3,5,5,5,5,5,3,5,3,5,4,5,5,5,2,4,3,5,5,5,5
labrastaff,Labrastaff,mixed-breeds,17 to 24 inches,40 to 80 pounds,10 to 14 years,2,2,4,1,3,3,4,4,3,4,4,3,3,4,4,4,2,4,3,3,3,4,4,3,4,4
labsky,Labsky,mixed-breeds,20 to 28 inches,40 to 60 pounds,10 to 12 years,2,2,2,2,5,1,5,4,3,3,4,2,2,3,4,4,4,5,3,4,4,4,5,4,5,5
lagotto-romagnolo,Lagotto Romagnolo,sporting-dogs,14 to 19 inches,24 to 35 pounds,14 to 17 years,2,4,3,3,4,3,3,3,3,3,1,2,1,4,3,2,4,4,2,4,3,3,4,2,4,4
lakeland-terrier,Lakeland Terrier,terriers,13 to 14 inches tall at the shoulder,15 to 17 pounds,12 to 15 years,4,3,3,2,4,4,5,4,3,3,2,1,2,5,3,2,2,4,1,4,4,3,5,4,4,4
lancashire-heeler,Lancashire Heeler,herding-dogs,10 to 12 inches tall at the shoulder,13 to 15 pounds,9 to 14 years,2,2,3,3,3,3,4,3,3,2,3,1,4,4,4,1,3,4,2,2,2,4,4,4,3,4
leonberger,Leonberger,working-dogs,25 to 31 inches tall at the shoulder,120 to 170 pounds,10 to 12 years,1,1,4,2,5,1,5,4,3,2,5,3,4,1,4,5,2,3,4,4,3,2,4,4,4,4
lhasa-apso,Lhasa Apso,companion-dogs,9 to 11 inches tall at the shoulder,12 to 15 pounds,12 to 15 years,5,5,5,4,3,2,4,4,3,2,3,1,1,3,3,1,3,4,3,4,4,2,4,3,3,5
lhasapoo,Lhasapoo,mixed-breeds,9 to 13 inches,10 to 15 pounds,10 to 15 years,4,2,4,2,3,3,4,3,3,1,1,1,3,4,3,3,3,5,2,2,4,2,4,4,3,4
lowchen,Lowchen,companion-dogs,12 to 14 inches tall at the shoulder,9 to 18 pounds,13 to 15 years,5,4,3,1,3,3,5,5,4,4,3,1,3,5,3,1,5,4,3,4,4,5,4,3,4,5
maltese,Maltese,companion-dogs,8 to 10 inches tall at the shoulder,Up to 7 pounds,12 to 15 years,5,5,4,1,1,3,5,3,4,2,2,1,2,3,3,1,4,4,3,4,4,1,3,3,2,4
maltese-shih-tzu,Maltese Shih Tzu,hybrids,From 10 inches tall at the shoulder,6 to 12 pounds,12 to 14 years,5,5,3,3,2,2,4,3,3,3,1,1,2,2,3,1,4,3,4,5,4,1,3,2,3,3
maltipoo,Maltipoo,hybrids,8 to 14 inches tall at the shoulder,5 to 20 pounds,10 to 13 years,5,5,5,1,2,3,5,4,4,4,1,1,3,2,2,2,5,4,3,2,5,4,3,3,2,4
manchester-terrier,Manchester Terrier,terriers,15 to 16 inches tall at the shoulder,12 to 22 pounds,14 to 16 years,5,3,3,3,1,3,4,3,3,3,3,1,5,2,4,2,2,4,2,4,4,4,4,4,4,4
maremma-sheepdog,Maremma Sheepdog,working-dogs,23.5 to 28.5 inches,65 to 100 pounds,11 to 13 years,1,1,4,2,4,2,4,4,4,1,5,3,2,5,5,4,1,5,2,1,2,2,4,4,4,2
mastador,Mastador,mixed-breeds,28 to 36 inches,85 to 160 pounds,10 to 12 years,1,2,4,3,4,2,5,5,3,3,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4
mastiff,Mastiff,working-dogs,27 to 32 inches tall at the shoulder,130 to 220 pounds,6 to 10 years,2,1,3,3,4,1,5,5,2,2,3,5,3,3,4,5,3,2,4,2,2,1,3,3,4,4
miniature-pinscher,Miniature Pinscher,companion-dogs,10 to 12 inches tall at the shoulder,8 to 11 pounds,10 to 14 years,5,3,5,2,1,3,5,3,2,3,2,1,5,3,5,1,3,3,2,3,5,5,4,3,4,5
miniature-schnauzer,Miniature Schnauzer,terriers,13 to 14 inches tall at the shoulder,11 to 20 pounds,12 to 14 years,4,3,4,5,4,4,5,3,3,3,2,1,2,3,4,2,5,4,2,4,3,3,5,3,5,4
morkie,Morkie,mixed-breeds,4 to 8 inches,7 to 13 pounds,10 to 14 years,3,2,3,2,2,3,4,3,2,3,1,1,3,4,4,1,3,4,5,3,5,2,4,3,4,5
mountain-cur,Mountain Cur,working-dogs,16 to 26 inches,30 to 60 pounds,10 to 16 years,1,1,3,2,4,4,4,4,3,2,2,1,4,5,1,4,2,4,2,5,3,4,4,4,5,4
mudi,Mudi,herding-dogs,14 to 20 inches,18 to 29 pounds,12 to 14 years,2,4,4,2,3,3,4,2,2,2,3,1,4,4,2,2,5,4,3,4,4,4,4,2,4,4
mutt,Mutt (Mixed),mixed-breeds,,,8 to 15 years,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3
neapolitan-mastiff,Neapolitan Mastiff,working-dogs,24 to 31 inches tall at the shoulder,120 to 200 pounds,8 to 10 years,2,1,4,1,1,2,5,4,2,1,3,5,3,2,5,5,3,3,2,1,1,1,3,1,3,4
newfoundland,Newfoundland,working-dogs,"2 feet, 1 inch to 2 feet, 5 inches tall at the shoulder",100 to 150 pounds,8 to 10 years,1,3,4,1,5,2,5,5,4,4,5,5,2,1,4,5,5,4,3,4,4,3,3,1,3,4
norfolk-terrier,Norfolk Terrier,terriers,9 to 10 inches tall at the shoulder,11 to 12 pounds,12 to 15 years,4,5,4,3,4,4,5,4,5,4,1,1,4,5,5,1,5,4,2,1,3,4,4,4,4,5
northern-inuit-dog,Northern Inuit Dog,hybrids,23 to 32 inches,55 to 110 pounds,12 to 15 years,1,1,4,1,5,3,5,4,3,5,5,1,2,4,2,4,2,4,4,4,5,5,5,4,5,5
norwegian-buhund,Norwegian Buhund,herding-dogs,16 to 18 inches tall at the shoulder,26 to 40 pounds,12 to 15 years,3,3,3,4,5,2,5,5,3,3,3,1,2,4,3,3,4,3,3,2,4,4,4,4,5,5
norwegian-elkhound,Norwegian Elkhound,hounds,19 to 20 inches tall at the shoulder,,12 to 15 years,4,4,4,2,5,3,5,4,4,4,5,1,3,4,4,3,2,4,3,4,4,4,5,3,5,4
norwegian-lundehund,Norwegian Lundehund,working-dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",13 to 16 pounds,10 to 12 years,1,1,3,2,5,3,5,5,5,5,5,1,4,3,3,3,4,5,3,2,1,5,4,4,5,5
norwich-terrier,Norwich Terrier,terriers,Up to 10 inches tall at the shoulder,Up to 12 pounds,10 to 14 years,5,3,4,2,4,4,5,5,5,5,2,1,2,4,5,1,4,4,4,3,4,4,5,4,4,5
nova-scotia-duck-tolling-retriever,Nova Scotia Duck Tolling Retriever,sporting-dogs,"1 foot, 5 inches to 1 foot, 9 inches tall at the shoulder",35 to 50 pounds,10 to 14 years,5,3,3,2,4,4,5,5,4,4,3,1,5,4,4,3,4,5,4,5,4,3,5,3,5,5
old-english-sheepdog,Old English Sheepdog,herding-dogs,From 21 inches tall at the shoulder,,10 to 12 years,5,4,4,2,4,2,5,4,4,4,1,4,1,4,4,4,3,4,2,3,1,2,4,3,4,4
otterhound,Otterhound,hounds,24 to 27 inches tall at the shoulder,,10 to 12 years,1,4,2,5,4,3,5,5,5,4,4,1,2,4,3,4,2,4,3,5,2,5,5,4,5,5
papillon,Papillon,companion-dogs,8 to 11 inches tall at the shoulder,4 to 9 pounds,12 to 16 years,5,5,3,1,2,4,5,3,4,5,2,1,3,3,3,1,5,4,3,4,2,1,4,3,5,5
papipoo,Papipoo,mixed-breeds,10 to 11 inches,6 to 14 pounds,10 to 14 years,5,5,4,1,2,4,5,3,4,4,1,1,2,3,3,1,5,5,3,3,2,2,5,3,5,5
patterdale-terrier,Patterdale Terrier,terriers,12 to 15 inches,11 to 13 pounds,11 to 14 years,1,2,4,1,4,4,4,4,4,4,2,1,4,4,3,2,3,5,4,5,2,4,4,4,4,4
peekapoo,Peekapoo,hybrids,Up to 11 inches tall at the shoulder,4 to 20 pounds,10 to 15 years,5,5,4,2,3,2,5,4,4,3,2,1,2,3,4,1,3,4,4,3,4,1,3,2,3,4
pekingese,Pekingese,companion-dogs,6 to 9 inches tall at the shoulder,7 to 14 pounds,12 to 15 years,5,4,2,3,4,1,5,2,2,2,4,1,1,2,3,1,3,4,3,5,4,3,2,1,2,3
pembroke-welsh-corgi,Pembroke Welsh Corgi,herding-dogs,10 to 12 inches tall at the shoulder,Up to 30 pounds,12 to 14 years,4,4,4,3,4,3,5,4,3,5,5,1,4,3,4,2,5,5,2,3,5,2,4,3,4,4
petit-basset-griffon-vendeen,Petit Basset Griffon Vendéen,hounds,13 to 15 inches tall at the shoulder,30 to 40 pounds,Starts at 14 years,4,3,3,3,4,3,5,5,5,5,4,1,2,3,4,2,1,4,3,5,5,5,5,4,5,5
pharaoh-hound,Pharaoh Hound,hounds,21 to 25 inches tall at the shoulder,45 to 55 pounds,11 to 14 years,4,4,5,2,1,5,5,5,5,4,2,1,4,5,3,3,3,4,4,5,4,4,2,3,4,4
pitsky,Pitsky,mixed-breeds,16 to 25 inches,30 to 80 pounds,12 to 16 years,2,1,4,1,3,3,5,5,3,5,4,2,3,4,2,3,3,3,4,3,4,4,4,4,5,5
plott,Plott,hounds,20 to 27 inches tall at the shoulder,40 to 75 pounds,12 to 14 years,1,1,4,2,2,4,4,3,5,3,2,1,5,5,3,3,4,3,3,5,1,5,4,4,5,3
pocket-beagle,Pocket Beagle,hounds,7 to 12 inches tall at the shoulder,7 to 15 pounds,Starts at 10 years,4,3,4,2,2,4,5,5,5,4,3,1,5,3,5,2,3,4,4,3,5,5,4,4,4,4
pointer,Pointer,sporting-dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",45 to 75 pounds,12 to 15 years,1,1,3,1,2,4,5,5,5,5,3,1,5,3,3,3,5,5,5,5,3,5,5,5,5,5
polish-lowland-sheepdog,Polish Lowland Sheepdog,herding-dogs,17 to 20 inches tall at the shoulder,35 to 55 pounds,10 to 12 years,4,2,4,3,4,4,5,4,3,3,1,1,1,4,3,3,4,4,3,3,2,3,4,3,4,4
pomapoo,Pomapoo,mixed-breeds,8 to 10 inches,5 to 15 pounds,12 to 15 years,5,5,4,1,3,2,5,3,3,3,3,1,1,3,4,1,4,4,3,2,3,1,3,3,3,4
pomchi,Pomchi,mixed-breeds,6 to 10 inches,4 to 12 pounds,12 to 18 years,4,3,3,3,2,4,4,3,3,3,3,1,2,5,4,1,3,4,4,3,4,3,3,4,3,4
pomeagle,Pomeagle,mixed-breeds,6 to 11 inches,5 to 25 pounds,12 to 15 years,4,4,4,1,3,2,5,3,3,3,4,1,2,3,4,1,3,2,3,3,5,4,4,3,3,4
pomeranian,Pomeranian,companion-dogs,7 to 12 inches tall at the shoulder,3 to 7 pounds,12 to 16 years,4,4,4,1,4,2,5,2,2,3,4,1,2,3,4,1,4,4,2,2,5,1,3,2,2,3
pomsky,Pomsky,mixed-breeds,10 to 15 inches,7 to 38 pounds,12 to 15 years,5,2,4,1,5,3,5,2,3,3,4,1,2,3,3,2,3,4,3,4,5,2,4,2,3,4
poochon,Poochon,mixed-breeds,9 to 15 inches,6 to 17 pounds,12 to 15 years,5,5,5,1,3,4,5,5,4,4,1,1,1,3,4,2,5,4,3,3,2,2,4,3,4,5
poodle,Poodle,companion-dogs,From 10 to over 22 inches tall at the shoulder,6 to 70 pounds,12 to 15 years,5,5,4,1,3,4,5,5,4,4,1,1,1,2,4,4,5,5,4,2,2,3,4,3,4,5
portuguese-podengo-pequeno,Portuguese Podengo Pequeno,hounds,8 to 12 inches,9 to 13 pounds,12 to 15 years,5,4,3,3,2,3,4,4,4,4,3,1,4,4,2,1,4,3,3,4,4,3,5,3,3,3
portuguese-pointer,Portuguese Pointer,sporting-dogs,20 to 22 inches,35 to 59 pounds,12 to 14 years,1,1,4,1,3,3,4,4,2,4,1,3,4,4,4,3,4,4,3,4,2,3,4,5,4,4
portuguese-sheepdog,Portuguese Sheepdog,herding-dogs,16 to 22 inches,37 to 59 pounds,12 to 13 years,2,2,4,2,4,3,4,4,4,2,2,1,4,5,4,4,3,5,3,2,4,2,4,3,4,3
portuguese-water-dog,Portuguese Water Dog,working-dogs,"1 foot, 5 inches to 1 foot, 11 inches tall at the shoulder",35 to 60 pounds,10 to 14 years,4,3,4,2,4,3,5,5,5,3,1,1,2,4,3,3,4,5,5,3,3,3,5,3,5,5
pudelpointer,Pudelpointer,working-dogs,21 to 27 inches,40 to 65 pounds,10 to 14 years,2,3,1,2,3,3,4,3,3,3,3,2,3,4,3,4,4,4,3,4,2,4,4,3,5,3
pug,Pug,companion-dogs,10 to 14 inches tall at the shoulder,14 to 18 pounds,12 to 15 years,5,5,3,1,2,1,5,4,4,4,5,1,5,1,5,2,3,2,2,3,2,2,3,4,3,5
pugalier,Pugalier,mixed-breeds,10 to 14 inches,10 to 20 pounds,12 to 15 years,5,5,5,2,2,2,5,5,5,5,4,1,4,3,5,2,4,3,3,3,3,2,3,3,3,5
puggle,Puggle,hybrids,13 to 15 inches tall at the shoulder,18 to 30 pounds,10 to 15 years,4,5,3,3,3,3,3,5,5,5,3,1,5,4,5,2,2,3,3,2,4,5,3,2,3,3
puginese,Puginese,mixed-breeds,6 to 14 inches,7 to 18 pounds,12 to 14 years,5,3,5,4,3,1,4,3,2,2,3,1,4,3,5,2,2,2,2,,3,1,3,3,3,4
puli,Puli,herding-dogs,16 to 17 inches tall at the shoulder,25 to 35 pounds,10 to 15 years,4,1,4,2,4,3,5,5,5,2,1,1,1,5,3,3,2,4,3,4,4,5,5,5,5,5
pyredoodle,Pyredoodle,mixed-breeds,15 to 32 inches,85 to 100 pounds,10 to 12 years,3,4,3,3,4,3,5,4,4,3,2,2,3,4,3,4,3,5,3,2,3,5,4,3,4,5
pyrenean-mastiff,Pyrenean Mastiff,working-dogs,24 to 31 inches,130 to 200 pounds,10 to 13 years,2,2,4,4,4,3,4,4,4,1,3,5,3,4,2,5,3,4,2,2,3,1,4,4,3,3
pyrenean-shepherd,Pyrenean Shepherd,herding-dogs,15 to 21 inches tall at the shoulder,25 to 30 pounds,15 to 17 years,5,2,4,1,4,3,5,5,2,2,3,1,3,2,3,2,2,4,3,4,5,2,4,5,5,5
rat-terrier,Rat Terrier,terriers,13 to 16 inches tall at the shoulder,,13 to 18 years,5,3,4,3,1,4,4,5,3,4,4,1,5,4,3,1,5,4,2,4,4,4,5,4,4,5
redbone-coonhound,Redbone Coonhound,hounds,21 to 27 inches tall at the shoulder,45 to 70 pounds,10 to 12 years,4,2,5,2,3,2,5,5,4,3,2,4,5,3,3,3,3,4,4,4,4,5,4,4,5,5
rhodesian-ridgeback,Rhodesian Ridgeback,hounds,24 to 27 inches tall at the shoulder,70 to 85 pounds,10 to 12 years,1,2,4,2,3,3,5,4,4,3,4,1,5,4,3,4,2,4,3,5,1,5,4,4,5,5
rottador,Rottador,mixed-breeds,24 to 27 inches,70 to 115 pounds,10 to 12 years,3,2,5,1,4,3,5,4,3,3,4,4,5,2,5,4,4,5,4,3,4,3,5,5,5,5
rottle,Rottle,mixed-breeds,12 to 27 inches,60 to 90 pounds,9 to 15 years,4,3,3,3,3,3,5,4,3,3,2,2,4,4,3,3,5,5,3,3,2,2,4,3,4,5
rottweiler,Rottweiler,working-dogs,22 to 27 inches tall at the shoulder,85 to 130 pounds,8 to 11 years,2,1,4,1,2,3,5,4,2,4,4,4,5,2,5,3,4,5,3,4,4,2,4,4,4,5
saint-berdoodle,Saint Berdoodle,mixed-breeds,15 to 30 inches,40 to 180 pounds,8 to 12 years,2,5,3,2,4,3,5,5,5,4,3,1,4,4,3,4,4,4,3,3,3,3,3,3,3,3
saint-bernard,Saint Bernard,working-dogs,"2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder",120 to 180 pounds,8 to 10 years,3,2,4,1,5,1,5,5,5,5,4,5,2,2,4,5,2,4,3,1,1,2,3,2,2,4
saluki,Saluki,hounds,23 to 28 inches tall at the shoulder,35 to 70 pounds,12 to 14 years,1,2,5,1,2,3,5,4,4,1,2,1,4,4,1,4,4,4,4,5,1,5,5,2,5,5
samoyed,Samoyed,working-dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",50 to 60 pounds,12 to 14 years,2,2,4,2,5,1,5,5,5,5,5,2,1,3,4,3,3,3,3,5,3,4,5,2,5,5
samusky,Samusky,mixed-breeds,20 to 24 inches,45 to 60 pounds,12 to 15 years,2,3,3,2,5,3,4,5,4,4,4,2,2,3,4,4,3,5,3,3,2,4,5,3,4,5
schipperke,Schipperke,companion-dogs,10 to 15 inches tall at the shoulder,11 to 18 pounds,13 to 15 years,4,2,4,3,3,2,4,5,2,2,3,1,5,4,5,1,2,4,3,2,4,5,5,3,5,5
schnoodle,Schnoodle,hybrids,10 to 26 inches tall at the shoulder,20 to 75 pounds,10 to 15 years,3,5,4,2,2,4,4,5,3,3,2,1,4,3,4,4,4,5,3,3,2,3,4,3,4,4
scottish-deerhound,Scottish Deerhound,hounds,28 to 32 inches tall at the shoulder,75 to 110 pounds,8 to 11 years,1,1,3,2,4,4,5,4,2,5,5,1,2,3,4,5,2,3,4,5,1,4,5,5,5,5
scottish-terrier,Scottish Terrier,terriers,Up to 10 inches tall at the shoulder,18 to 22 pounds,11 to 13 years,4,2,4,3,4,3,5,4,4,4,2,1,2,4,3,2,1,4,3,3,4,5,4,4,4,4
sealyham-terrier,Sealyham Terrier,terriers,Up to 10 inches tall at the shoulder,22 to 24 pounds,12 to 14 years,4,4,4,2,4,3,4,4,4,3,4,3,1,5,3,2,3,4,2,2,4,3,4,2,4,4
sheepadoodle,Sheepadoodle,mixed-breeds,16 to 22 inches,60 to 80 pounds,12 to 15 years,4,4,5,2,4,3,5,5,4,4,1,1,3,4,4,4,3,5,3,1,2,2,4,3,4,5
shepsky,Shepsky,mixed-breeds,20 to 25 inches,45 to 88 pounds,10 to 14 years,1,1,4,2,4,3,5,4,3,4,4,2,3,4,2,4,4,5,4,4,3,2,5,4,5,5
shetland-sheepdog,Shetland Sheepdog,herding-dogs,13 to 16 inches tall at the shoulder,Starts at 20 pounds,12 to 15 years,2,3,5,2,4,3,5,5,4,5,5,1,2,4,3,2,5,5,1,3,4,2,4,2,4,4
shiba-inu,Shiba Inu,companion-dogs,13 to 17 inches tall at the shoulder,17 to 23 pounds,12 to 16 years,5,4,3,5,4,3,4,3,3,3,4,1,4,3,2,2,2,4,4,3,4,4,4,2,3,3
shichon,Shichon,mixed-breeds,9 to 12 inches,9 to 15 pounds,12 to 18 years,5,4,4,1,2,2,5,5,4,4,1,1,4,4,3,2,3,4,1,1,2,1,4,2,3,5
shih-poo,Shih-Poo,mixed-breeds,8 to 18 inches,8 to 18 pounds,13 to 17+ years,5,2,4,2,3,2,5,3,2,4,1,1,2,3,4,1,2,4,3,2,2,2,3,1,2,4
shih-tzu,Shih Tzu,companion-dogs,9 to 10 inches tall at the shoulder,9 to 16 pounds,10 to 16 years,5,5,3,3,3,1,5,4,4,5,3,1,1,3,4,1,3,4,4,4,2,2,2,3,2,4
shikoku,Shikoku,companion-dogs,17 to 22 inches,35 to 55 pounds,10 to 12 years,3,2,3,3,5,4,4,3,2,2,4,1,4,5,4,3,2,4,2,4,2,3,3,3,3,2
shiloh-shepherd,Shiloh Shepherd,working-dogs,26 to 30 inches,80 to 130 pounds,9 to 14 years,1,2,4,2,5,4,5,5,4,5,4,3,4,3,4,5,5,5,4,1,4,3,4,4,4,5
shiranian,Shiranian,mixed-breeds,7 to 12 inches,4 to 16 pounds,12 to 16 years,4,4,4,2,2,1,5,3,3,4,2,2,2,2,3,2,2,4,1,1,2,2,2,3,2,4
shollie,Shollie,mixed-breeds,21 to 29 inches,70 to 80 pounds,13 to 15 years,1,2,3,2,4,4,4,4,3,2,4,2,3,3,4,4,4,4,3,3,3,4,5,4,4,4
shorkie,Shorkie,mixed-breeds,6 to 14 inches,5 to 15 pounds,11 to 16 years,5,3,3,1,2,2,4,3,2,3,2,1,4,2,3,1,2,3,2,4,4,3,4,3,2,5
siberian-husky,Siberian Husky,working-dogs,20 to 23 inches tall at the shoulder,35 to 60 pounds,12 to 15 years,2,1,4,1,5,3,5,5,5,5,4,3,2,4,2,3,2,3,4,3,5,5,5,3,5,5
silken-windhound,Silken Windhound,hounds,18 to 23.5 inches,20 to 55 pounds,14 to 20 years,4,4,4,2,4,4,5,4,3,4,2,2,4,4,2,3,5,4,3,5,1,4,4,2,4,5
silky-terrier,Silky Terrier,companion-dogs,9 to 10 inches tall at the shoulder,8 to 10 pounds,12 to 15 years,5,3,3,3,1,4,4,3,2,3,2,1,4,4,3,1,4,4,2,5,4,3,4,4,3,4
skye-terrier,Skye Terrier,terriers,9 to 10 inches tall at the shoulder,25 to 40 pounds,12 to 14 years,4,4,3,2,4,4,4,4,2,5,3,1,3,5,3,2,2,4,3,4,4,4,3,4,3,4
sloughi,Sloughi,hounds,24 to 29 inches tall at the shoulder,40 to 63 pounds,12 to 16 years,4,2,4,3,2,3,5,5,4,3,3,1,5,3,2,4,3,4,3,5,2,3,5,3,5,3
small-munsterlander-pointer,Small Munsterlander Pointer,sporting-dogs,19 to 22 inches tall at the shoulder,40 to 60 pounds,12 to 14 years,1,2,3,4,5,3,5,5,5,4,3,1,3,5,3,3,5,5,3,5,3,4,4,5,5,4
soft-coated-wheaten-terrier,Soft Coated Wheaten Terrier,terriers,17 to 19 inches tall at the shoulder,30 to 40 pounds,12 to 15 years,5,4,4,2,2,3,5,5,5,5,2,1,3,4,3,3,4,4,2,3,3,4,4,3,4,5
spanish-mastiff,Spanish Mastiff,working-dogs,26 to 35 inches,140 to 220 pounds,10 to 12 years,2,1,3,3,4,3,4,4,2,2,3,2,3,4,3,5,2,4,2,1,1,2,3,2,3,4
spinone-italiano,Spinone Italiano,sporting-dogs,22 to 28 inches,61 to 86 pounds,10 to 14 years,4,4,5,2,4,3,5,5,5,5,3,4,2,3,2,4,4,4,2,4,2,2,4,2,4,4
springador,Springador,mixed-breeds,18 to 24 inches,50 to 90 pounds,10 to 14 years,2,3,4,1,4,4,4,3,3,3,1,2,4,4,4,4,5,5,2,4,3,4,4,3,4,4
stabyhoun,Stabyhoun,sporting-dogs,19 to 20 inches tall at the shoulder,45 to 50 pounds,13 to 14 years,2,3,4,3,2,2,5,5,4,3,3,1,3,5,3,3,5,5,1,4,3,3,3,4,4,5
staffordshire-bull-terrier,Staffordshire Bull Terrier,terriers,14 to 16 inches tall at the shoulder,24 to 38 pounds,12 to 14 years,3,1,4,2,3,1,5,5,1,5,3,3,5,3,4,2,2,3,2,2,3,4,3,3,4,5
staffy-bull-bullmastiff,Staffy Bull Bullmastiff,hybrids,14 to 27 inches,38 to 130 pounds,12 to 16 years,4,1,3,2,3,1,5,4,1,1,3,2,4,3,2,4,1,3,3,2,1,2,1,4,1,3
standard-schnauzer,Standard Schnauzer,working-dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 50 pounds,13 to 16 years,4,2,4,2,4,4,4,4,3,2,1,1,2,5,1,3,3,5,3,5,2,5,5,3,5,5
sussex-spaniel,Sussex Spaniel,sporting-dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",35 to 45 pounds,11 to 14 years,5,5,5,1,5,5,5,5,5,5,3,1,4,4,5,2,3,5,2,1,4,1,2,1,2,4
swedish-lapphund,Swedish Lapphund,herding-dogs,16 to 20 inches,30 to 45 pounds,12 to 14 years,2,2,4,2,5,2,4,4,4,4,4,2,2,3,2,3,4,5,4,2,4,2,3,4,3,4
swedish-vallhund,Swedish Vallhund,herding-dogs,"11 inches to 1 foot, 1 inch tall at the shoulder",22 to 35 pounds,12 to 15 years,3,1,3,3,4,3,5,4,3,5,4,1,5,4,4,3,5,5,2,4,1,3,5,3,5,5
taiwan-dog,Taiwan Dog,hounds,16 to 21 inches,25 to 40 pounds,10 to 13 years,3,2,3,2,4,4,4,3,4,2,3,3,4,4,3,3,4,4,3,4,3,4,4,3,4,4
terripoo,Terripoo,mixed-breeds,9 to 15 inches,10 to 14 pounds,10 to 15 years,5,5,2,1,3,4,5,4,3,3,1,1,3,3,3,1,4,5,2,4,3,3,5,3,4,5
texas-heeler,Texas Heeler,mixed-breeds,16 to 22 inches,25 to 50 pounds,12 to 15 years,2,3,3,3,4,3,4,3,3,3,4,2,3,3,5,3,3,5,4,3,2,4,5,3,5,4
thai-ridgeback,Thai Ridgeback,companion-dogs,20 to 24 inches,35 to 75 pounds,10 to 13 years,2,2,2,2,4,3,3,2,3,3,3,2,4,4,3,3,2,4,2,4,2,4,4,4,4,3
tibetan-mastiff,Tibetan Mastiff,working-dogs,"2 feet to 2 feet, 2 inches tall at the shoulder",75 to 160 pounds,10 to 14 years,1,1,5,1,5,2,5,5,5,2,2,2,4,3,4,5,1,5,5,3,2,3,4,2,2,5
tibetan-spaniel,Tibetan Spaniel,companion-dogs,From 10 inches tall at the shoulder,9 to 15 pounds,12 to 15 years,5,4,5,1,1,2,5,5,4,3,3,1,4,5,3,1,4,4,3,3,4,3,3,3,4,4
tibetan-terrier,Tibetan Terrier,companion-dogs,14 to 16 inches tall at the shoulder,20 to 24 pounds,12 to 15 years,5,3,4,1,4,4,5,5,4,3,1,1,1,5,3,2,4,4,2,2,4,3,5,4,5,5
toy-fox-terrier,Toy Fox Terrier,companion-dogs,8 to 11 inches at the shoulder,3 to 7 pounds,13 to 14 years,5,3,4,1,2,3,5,4,3,3,4,1,5,5,2,1,3,4,2,5,4,4,5,4,5,5
transylvanian-hound,Transylvanian Hound,hounds,18 to 25 inches,55 to 77 pounds,10 to 12 years,3,2,2,3,3,3,4,3,3,2,3,3,4,4,3,3,2,4,3,4,3,4,4,4,5,4
treeing-tennessee-brindle,Treeing Tennessee Brindle,hounds,16 to 24 inches tall at the shoulder,30 to 45 pounds,10 to 12 years,1,2,3,2,3,3,4,4,4,3,4,3,5,4,3,3,3,4,3,4,1,1,4,4,5,3
treeing-walker-coonhound,Treeing Walker Coonhound,hounds,20 to 27 inches tall at the shoulder,45 to 80 pounds,12 to 13 years,1,2,5,2,3,3,4,4,3,3,3,2,5,4,3,4,2,4,3,4,5,5,4,4,5,3
valley-bulldog,Valley Bulldog,mixed-breeds,12 to 25 inches,50 to 125 pounds,8 to 12 years,4,3,4,2,1,1,5,4,3,4,4,3,5,3,4,4,3,3,2,3,4,1,4,4,4,4
vizsla,Vizsla,sporting-dogs,21 to 24 inches tall at the shoulder,45 to 65 pounds,10 to 14 years,1,3,5,1,1,4,5,5,5,5,2,1,5,4,2,3,5,4,4,2,5,5,5,4,5,5
